Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
Yale University,0,0,1 ,3 ,2 ,3 ,2 ,3 ,4 ,3 ,7 ,1 ,6 ,2 ,1 ,4 ,2 ,5 ,6 ,8 ,7 ,3 ,7 ,7 ,5 ,4 ,5 ,6 ,9 
Indiana University Bloomington,1 ,0,5 ,2 ,0,1 ,5 ,4 ,1 ,2 ,1 ,1 ,4 ,4 ,1 ,3 ,2 ,4 ,5 ,5 ,5 ,7 ,6 ,8 ,8 ,7 ,5 ,7 ,9 
Arizona State University,2 ,4 ,7 ,6 ,2 ,2 ,3 ,4 ,4 ,2 ,3 ,4 ,6 ,2 ,1 ,4 ,3 ,3 ,5 ,5 ,4 ,3 ,6 ,7 ,5 ,3 ,4 ,2 ,5 
"Rochester, U. of",5 ,2 ,6 ,7 ,3 ,7 ,2 ,7 ,1 ,8 ,3 ,4 ,2 ,4 ,3 ,3 ,2 ,2 ,1 ,2 ,2 ,8 ,8 ,3 ,5 ,1 ,2 ,4 ,1 
Hong Kong U. of Science & Tech. (HKUST),0,2 ,1 ,3 ,0,1 ,2 ,1 ,5 ,2 ,3 ,4 ,6 ,3 ,6 ,2 ,4 ,4 ,7 ,6 ,6 ,5 ,2 ,6 ,4 ,3 ,6 ,6 ,1 
London School of Economics,1 ,0,0,1 ,0,1 ,1 ,1 ,0,2 ,0,1 ,0,2 ,2 ,1 ,2 ,4 ,5 ,5 ,3 ,6 ,12 ,9 ,7 ,6 ,6 ,5 ,13 
Swiss Finance Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,6 ,4 ,5 ,7 ,8 ,8 ,11 ,8 ,9 ,8 ,10 ,7 
"British Columbia, U. of",7 ,2 ,4 ,6 ,2 ,4 ,2 ,2 ,2 ,3 ,0,0,0,3 ,3 ,3 ,3 ,6 ,4 ,2 ,4 ,5 ,2 ,4 ,2 ,4 ,2 ,5 ,5 
"Toronto, University of",1 ,0,1 ,1 ,0,0,1 ,0,0,4 ,1 ,1 ,1 ,3 ,4 ,1 ,1 ,9 ,2 ,5 ,4 ,2 ,7 ,12 ,5 ,8 ,2 ,10 ,4 
Princeton University,1 ,1 ,2 ,3 ,1 ,1 ,1 ,1 ,0,1 ,0,4 ,4 ,2 ,6 ,5 ,4 ,4 ,4 ,3 ,3 ,3 ,7 ,5 ,4 ,6 ,5 ,6 ,2 
